root	gloss_head	matched_covered_word	gloss_zipf	inv_tier	prod	gloss
kontoscienc	accountancy	accounting	3.1	tail	1	accountancy, accounting
okulglob	eyeball	eye	3.1	tail	1	eyeball, eye
tutkor	cordial	whole-hearted	3.1	tail	1	cordial, whole-hearted, openly
aŭtovoj	expressway	highway	3.09	tail	1	expressway, freeway, motorway, interstate, highway
dispensari	dispensary	public	3.09	tail	1	dispensary, public dispensary, welfare center
fregat	frigate	bird	3.09	tail	1	frigate, frigate bird
irmanier	gait	manner	3.09	tail	1	gait, manner of walking
liliput	diminutive	tiny	3.09	tail	1	diminutive, Lilliputian, tiny, dwarf
dummoment	momentary	temporary	3.08	tail	1	momentary, temporary, short-lived, transient
elreliĝ	derail	run	3.08	tail	1	to derail, run off rails
erp	harrow	rake	3.08	core	4	to harrow, rake, till, plow
hejmlabor	housework	homework	3.08	tail	1	housework, homework
amabl	dainty	kind	3.07	tail	1	dainty, kind, nice, pretty
bisturi	lancet	knife	3.07	tail	1	lancet, surgeon’s knife
forpel	banish	send	3.07	core	3	to banish, send away, chase away, drive away, expel, dispel
kaserol	casserole	stew	3.07	tail	1	casserole, saucepan, stew pan
kompres	compress	pads	3.07	tail	1	compress, gauze pads
kunprem	compress	squeeze	3.07	core	5	to compress, squeeze together
leĝfarist	lawmaker	legislative	3.07	tail	1	lawmaker, legislative
egid	aegis	protection	3.06	tail	1	aegis, protection, shield, auspices, sponsorship
libid	libido	sex	3.06	tail	1	libido, sex drive
resurekt	resurrect	rise	3.06	tail	1	to resurrect, rise
ĉaled	chalet	ski	3.06	tail	1	chalet, ski lodge, mountain log cabin
alproprig	assimilate	grab	3.05	core	3	to assimilate, grab
nerapid	leisurely	slow	3.05	tail	1	leisurely, slow, not fast
perpleks	perplexed	taken	3.05	extended	2	perplexed, taken aback
spit	defiantly	despite	3.05	core	3	defiantly, despite, in spite of
broĉ	brooch	safety	3.04	tail	1	brooch, safety pin
inkus	anvil	bone	3.04	tail	1	anvil, incus (small bone in the middle ear)
unukolor	monochrome	solid	3.04	tail	1	monochrome, solid
ĝet	jetty	protecting	3.04	tail	1	jetty, protecting mole, pier
dissemiĝ	disseminate	scatter	3.03	extended	2	to disseminate, propagate, scatter
katod	cathode	negative	3.03	tail	1	cathode, negative electrode
postkulis	backdoor	scenes	3.03	tail	1	backdoor, backstage, behind the scenes
ulcer	ulcer	sore	3.03	core	3	ulcer, sore
gasojl	kerosene	mineral	3.02	tail	1	kerosene, mineral oil, oil
kribr	sift	screen	3.02	tail	1	to sift, strain, filter, screen
spirpaŭz	breather	breathing	3.02	tail	1	breather, breathing space
dekor	adorn	decorate	3.01	tail	1	to adorn, decorate, ornament
plenblov	inflate	puff	3.01	tail	1	to inflate, puff up
provcel	experimentally	test	3.01	tail	1	experimentally, as a test
ekonom	bailiff	estate	3.0	tail	1	bailiff, bursar, estate manager, manager, steward, treasurer
elize	blissful	blessed	3.0	tail	1	blissful, blessed
femur	femur	leg	3.0	extended	2	femur, thigh, leg, upper leg
surgrundiĝ	alight	land	3.0	tail	1	to alight, land (on the ground)
unupec	monolithic	one-piece	3.0	tail	1	monolithic, one-piece
vezikl	blister	bubble	3.0	tail	1	blister, bladder, bubble, pocket, sack
ĝuplen	blissful	blessed	3.0	tail	1	blissful, blessed
