root	gloss_head	gloss_zipf	suggested_tier	inv_tier	prod	gloss
sumo	sumo	3.06	3	extended	2	sumo
tiraljor	skirmish	3.06	3	extended	2	to skirmish
tumult	tumultuous	3.06	3	core	3	tumultuous, turbulent, riotous
unit	unitary	3.06	3	extended	2	unitary
asimil	assimilate	3.05	3	core	3	to assimilate, localize
bet	beet	3.05	3	core	6	beet, of a beet, of beetroot; beta (β)
bigot	bigoted	3.05	3	core	4	bigoted, fanatical
emir	emir	3.05	3	extended	2	emir
frakci	fractional	3.05	3	extended	2	fractional
incendi	incendiary	3.05	3	extended	2	incendiary
kanibal	cannibal	3.05	3	extended	2	cannibal
parok	parochial	3.05	3	core	3	parochial
paroĥ	parochial	3.05	3	core	7	parochial
akupunktur	acupuncture	3.04	3	extended	2	acupuncture
dekadenc	decadent	3.04	3	core	3	decadent
genealogi	genealogical	3.04	3	extended	2	genealogical
haĝ	hajj	3.04	3	extended	2	hajj
impotent	impotent	3.04	3	core	3	impotent
kunekzist	coexist	3.04	3	extended	2	to coexist
vinĉ	winch	3.04	3	extended	2	to winch
hidrat	hydrate	3.03	3	extended	2	hydrate
infanvart	babysit	3.03	3	core	4	to babysit
kebab	kebab	3.03	3	extended	2	kebab
konfigur	configure	3.03	3	extended	2	configure
multlingv	multilingual	3.03	3	core	3	multilingual
plurlingv	multilingual	3.03	3	core	3	multilingual
vidv	widower	3.03	3	core	5	widower
agnostik	agnostic	3.02	3	core	4	agnostic
fanatik	fanatical	3.02	3	core	4	fanatical
inkandesk	incandescent	3.02	3	core	3	incandescent
neerarebl	infallible	3.02	3	extended	2	infallible
neĝtabul	snowboard	3.01	3	core	4	to snowboard
numer	numeric	3.01	3	core	5	numeric, numerical
palpebr	eyelid	3.01	3	extended	2	eyelid
puritan	puritan	3.01	3	extended	2	puritan
rapsodi	rhapsody	3.01	3	extended	2	rhapsody
aŭster	austere	3.0	3	extended	2	austere, Spartan
blaz	blister	3.0	3	extended	2	blister
car	czar	3.0	3	core	5	of a czar, of a tsar
dukland	duchy	3.0	3	extended	2	duchy, dukedom
ensem	instill	3.0	3	extended	2	to instill, sow
kalik	chalice	3.0	3	extended	2	chalice, goblet, tankard, grail
pantomim	pantomime	3.0	3	extended	2	to pantomime
severmor	austere	3.0	3	extended	2	austere
sinkron	synchronous	3.0	3	core	3	synchronous
spor	spore	3.0	3	extended	2	spore
teolog	theologian	3.0	3	extended	2	theologian
vimen	wicker	3.0	3	extended	2	wicker
