root	bucket	covered_tiers	inv_tier	prod	gloss_head	gloss_zipf	suggested_tier	matched_word	gloss
diminutiv	obscure_root		tail	1	diminutive	3.09			diminutive
dimorfotek	obscure_root		tail	1	african	0.0			African daisy
dimsam	obscure_root		tail	1	dim	0.0			dim sum
din	obscure_root		extended	2	dyne	2.11			dyne
dinam	candidate_gap		core	3	dynamo	3.16	3		dynamo
dinamik	covered_T1_3	3	tail	1		0.0			dynamic
dinamometr	obscure_root		tail	1	dynamometer	1.97			dynamometer
dinamotor	obscure_root		tail	1	dynamotor	0.0			dynamotor
dinasti	obscure_root		tail	1	dynastic	2.77			dynastic
dinatron	obscure_root		tail	1	dynatron	1.08			dynatron
dine	obscure_root		tail	1	navajo	0.0			Navajo
ding	obscure_root		tail	1	dingo	2.75			dingo
dink	obscure_root		tail	1	dinka	0.0			Dinka
dinornit	obscure_root		tail	1	moa	2.98			moa
dinosaŭr	covered_T1_3	1	tail	1		0.0			dinosaur
dinoteri	obscure_root		tail	1	dinothere	0.0			dinothere, dinotherium
diocez	obscure_root		extended	2	diocesan	2.89			diocesan
diod	obscure_root		tail	1	diode	3.06			diode
dioik	obscure_root		extended	2	dioecious	1.91			dioecious
diomede	obscure_root		tail	1	albatross	2.9			albatross
dioptri	obscure_root		tail	1	dioptre	0.0			dioptre
dioptrik	obscure_root		tail	1	dioptrics	0.0			dioptrics
dioram	obscure_root		tail	1	diorama	2.49			diorama
dioskore	obscure_root		tail	1	yam	3.04			yam
diotrop	obscure_root		tail	1		0.0			trinity (of gods)
dipatrin	obscure_root		tail	1	mother	0.0			Mother of God
dipleks	obscure_root		tail	1	duplex	3.13			duplex
diplodok	obscure_root		tail	1	diplodocus	1.92			diplodocus
diplom	covered_T1_3	2	core	3		0.0			to certify
diplomat	candidate_gap		extended	2	diplomatic	4.11	2		diplomatic
diplomati	candidate_gap		extended	2	diplomatic	4.11	2		diplomatic
diplomit	obscure_root		core	4	certificated	2.26			certificated, graduate
dipod	obscure_root		tail	1	jerboa	1.52			jerboa
dipol	obscure_root		tail	1	dipole	2.81			dipole
diport	obscure_root		tail	1	backwardation	1.48			backwardation
dipsak	obscure_root		tail	1	teasel	1.39			teasel
dipsomani	obscure_root		tail	1	dipsomania	0.0			dipsomania
diptik	obscure_root		tail	1	diptych	1.95			diptych
dir	covered_T1_3	1/3	core	11		0.0			to say, tell, state
dirak	obscure_root		tail	1	dirac	0.0			Dirac
direkci	obscure_root		tail	1	directorate	3.41			directorate
direkt	covered_T1_3	2	core	10		0.0			directional
direktal	obscure_root		tail	1	tail	0.0			tail fin
direkteron	obscure_root		tail	1	rudder	3.2			rudder
direktilstang	obscure_root		tail	1	tiller	2.95			tiller
direktiv	obscure_root		tail	1	directive	3.71			directive
direktor	covered_T1_3	2	core	4		0.0			director, manager
direktori	obscure_root		tail	1	directorate	3.41			directorate
dirigent	obscure_root		tail	1	conductor	3.8			conductor
dirmanier	obscure_root		tail	1	expression	4.55			expression, turn of speech, way of speaking
dis	covered_T1_3	2	core	9		0.0			disjoint
disaŭ	obscure_root		tail	1	xor	2.27			xor, exclusive or
disbruligil	obscure_root		tail	1	bubbler	2.08			bubbler
discentrec	obscure_root		tail	1	eccentricity	2.84			eccentricity
disciplin	covered_T1_3	2	core	4		0.0			disciplinary
disd	obscure_root		core	5	out	0.0			out of
disduig	obscure_root		tail	1	cut	0.0			to cut in two
disduiĝ	obscure_root		tail	1	split	0.0			to split apart, become split, split into two
disel	obscure_root		tail	1	diesel	4.05			diesel
disenteri	obscure_root		tail	1	dysentery	2.8			dysentery
diserig	obscure_root		extended	2	disintegrate	2.88			to disintegrate, separate into elements, decompose, disassemble
diseriĝ	obscure_root		tail	1	fall	0.0			to fall apart
disert	obscure_root		extended	2	dissertate	0.0			to dissertate, discuss
disertaci	shade_mismatch		tail	1	dissertation	3.7		thesis	dissertation, thesis
diserv	obscure_root		tail	1	devotional	3.16			devotional
disfagi	obscure_root		tail	1	dysphagia	2.17			dysphagia
disfazi	obscure_root		tail	1	dysphasia	1.24			dysphasia
disfolid	obscure_root		tail	1	boomslang	1.3			boomslang
disiernom	obscure_root		tail	1	file	0.0			file name
disignif	obscure_root		tail	1	double	0.0			double meaning
disigpov	obscure_root		tail	1	resolving	0.0			resolving power
disip	obscure_root		tail	1	waste	4.81			to waste
disir	obscure_root		tail	1	break	0.0			to break up, separate
disjunkci	obscure_root		tail	1	disjunction	2.2			disjunction
disk	covered_T1_3	2	core	12		0.0			to dial (telephone)
diskaparat	obscure_root		tail	1	hard	0.0			hard disk
disked	obscure_root		tail	1	floppy	0.0			floppy disk, floppy, diskette
diskerar	obscure_root		tail	1	disk	0.0			disk error
disketiked	obscure_root		tail	1	disk-labeling	0.0			disk-labeling
diskettenil	obscure_root		tail	1	diskette	0.0			diskette drive, diskette drive
diskhalter	obscure_root		tail	1	barbell	0.0			barbell set
diskingocifer	obscure_root		tail	1	drive	0.0			drive letter, drive digit
diskingoliter	obscure_root		tail	1	drive	0.0			drive letter, drive digit
diskkopi	obscure_root		tail	1	disk	0.0			disk duplication
diskludil	obscure_root		tail	1	record	0.0			record player
diskmemor	obscure_root		tail	1	disk	0.0			disk space
disko	obscure_root		tail	1		0.0			disco (music)
diskocilindr	obscure_root		tail	1	cylinder	3.99			cylinder
diskodancej	obscure_root		tail	1	disco	3.78			disco, discothèque
diskodrajv	obscure_root		tail	1	disc	0.0			disc drive
