en_lemma	decision	note	eo_root_override	eo_word_override	source	reason	ts
moo	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
porcupine	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
robin	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
spanish	reject	should be Tier 2			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
squeaky	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
brad	reject				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
caw	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
coo	accept	translation: - sound of a bird			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
granddad	accept	? (avo)			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
granddaughter	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
jay	reject				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
doll	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
bug	accept	translation: beetle			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
swing	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
pond	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
magical	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
clap	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
duck	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
cheer	accept	translation (hurai)			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
balloon	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
treasure	accept	(trezoro)			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
nearby	accept	[nearby tree, nearby shop, nearby park]			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
dragon	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
relieve	accept	calmed (trankviligita)			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
bucket	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
spin	accept	spinning, spin around: (spino)			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
snack	accept	few bites of food (mangeto)			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
kite	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
blanket	accept	bed blanket, picnic blanket: (kovrilo)			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
backyard	accept	backyard			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
naughty	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
nap	accept	(dormeto)			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
yell	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
delight	accept	(gojo)			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
bow	accept	several meanings: bow and arrow, bow down			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
tasty	accept	tasty (bongusta)			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
basket	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
sack	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
bounce	accept	jump (salto)			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
crawl	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
lovely	accept	nice (bela, belo, carma)			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
cute	accept	cute boy (dolce knabo)			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
puddle	accept	dog puddle			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
meadow	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
jar	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
peek	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
picnic	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
