en_lemma	base_word	total_freq	band	final_eo_root	final_eo_word	eo_gloss	gloss_source	anchor_source	tier_basis	proposed_tier	review_flag	note
readily	readily	1	P6_tail	volont	volonte	readily, willingly	espdic	worksheet-proposed	inventory	2		
realization	realization	1	P6_tail	realiĝ	realiĝo	realization	espdic	worksheet-proposed	inventory	2		
reap	reap	1	P6_tail	falĉ	falĉi	to cut, mow, reap	espdic	worksheet-proposed	inventory	2		
rearrange	rearrange	1	P6_tail	rearanĝ	rearanĝi	to rearrange	espdic	worksheet-proposed	inventory	2		
recital	recital	1	P6_tail	rakont	rakonto	account, narrative, story, tale, recital	espdic	worksheet-proposed	inventory	2		
recount	recount	1	P6_tail	fabel	fabeli	tell fables, recount	espdic	worksheet-proposed	inventory	2		
recovery	recovery	1	P6_tail	sav	savo	salvage, salvation, recovery	espdic	worksheet-proposed	inventory	2		
reel	reel	1	P6_tail	ril	rilo	reel	espdic	worksheet-proposed	inventory	2		
refusal	refusal	1	P6_tail	rifuz	rifuzo	refusal, rejection	espdic	worksheet-proposed	inventory	2	rare-anchor	
rein	rein	1	P6_tail	kondukil	kondukilo	rein (of a horse)	espdic	worksheet-proposed	inventory	2		
relent	relent	1	P6_tail	dolĉiĝ	dolĉiĝi	to relent	espdic	worksheet-proposed	inventory	2		
remarkable	remarkable	1	P6_tail	rimarkind	rimarkinda	noteworthy, remarkable, prominent	espdic	worksheet-proposed	inventory	2		
repeatedly	repeatedly	1	P6_tail	ad	ade	continually, continuously, repeatedly, often	espdic	worksheet-proposed	inventory	2	rare-anchor	
rescuer	rescuer	1	P6_tail	savist	savisto	rescuer	espdic	worksheet-proposed	inventory	2		
resign	resign	1	P6_tail	abdik	abdiki	to abdicate, resign	espdic	worksheet-proposed	inventory	2		
resourceful	resourceful	1	P6_tail	aranĝem	aranĝema	ingenious, resourceful	espdic	worksheet-proposed	inventory	2		
resourcefulness	resourcefulness	1	P6_tail	eltrovem	eltrovemo	ingenuity, resourcefulness	espdic	worksheet-proposed	inventory	2		
restart	restart	1	P6_tail	restart	restarto	reboot, restart	espdic	worksheet-proposed	inventory	2		
rhyme	rhyme	1	P6_tail	rim	rimi	to rhyme	espdic	worksheet-proposed	inventory	2		
rib	rib	1	P6_tail	rip	ripo	rib	espdic	worksheet-proposed	inventory	2		
ridiculous	ridiculous	1	P6_tail	ridind	ridinda	funny, laughable, ludicrous, ridiculous, droll	espdic	worksheet-proposed	inventory	2		
rightful	rightful	1	P6_tail	rajt	rajta	lawful, legitimate, rightful	espdic	worksheet-proposed	inventory	2		
ripen	ripen	1	P6_tail	maturiĝ	maturiĝi	to mature, ripen	espdic	worksheet-proposed	inventory	2		
ripple	ripple	1	P6_tail	ondet	ondeti	to ripple	espdic	worksheet-proposed	inventory	2		
risky	risky	1	P6_tail	risk	riska	adventurous, hazardous, risky, venturous	espdic	worksheet-proposed	inventory	2		
rose	rose	1	P6_tail	roz	rozo	rose	espdic	worksheet-proposed	inventory	2		
