decision	flag	fold	en_word	anchor_root	all_roots	eo_word	eo_pos	proposed_tier	gloss_zipf	inv_tier	prod	gloss	note
	common	standalone	orphan	orf	orf	orfo	NOUN	3	3.58	core	5	orphan	
	common	standalone	pineapple	ananas	ananas	ananaso	NOUN	3	3.58	extended	2	pineapple	
	common	standalone	cartridge	kased	kased	kasedo	NOUN	3	3.57	extended	2	cartridge, cassette	
	common	standalone	cigar	cigar	cigar	cigaro	NOUN	3	3.57	core	4	cigar	
	common	standalone	handwriting	manskrib	manskrib	manskriba	ADJ	3	3.57	core	3	handwriting	
	common	derived_adj	lucrative	lukr	lukr	lukra	ADJ	3	3.56	core	4	lucrative	derived adjective — confirm noun anchor / eo_word
	common	standalone	multimedia	plurmedi	plurmedi	plurmedio	NOUN	3	3.56	extended	2	multimedia	
	common	standalone	porcelain	porcelan	porcelan	porcelano	NOUN	3	3.56	extended	2	porcelain	
	common	standalone	psalm	psalm	psalm	psalmo	NOUN	3	3.56	core	3	psalm	
	common	standalone	schizophrenia	skizofreni	skizofreni	skizofrenio	NOUN	3	3.56	extended	2	schizophrenia	
	common	standalone	walnut	jugland	jugland	juglando	NOUN	3	3.56	extended	2	walnut	
	common	standalone	ambush	embusk	embusk	embuski	VERB	3	3.55	core	3	to ambush	
	common	standalone	karate	karate	karate	karateo	NOUN	3	3.55	extended	2	karate	
	common	standalone	messiah	mesi	mesi	mesio	NOUN	3	3.55	extended	2	messiah	
	common	standalone	onboard	enboat	enboat	enboato	NOUN	3	3.55	extended	2	onboard	
	common	derived_adj	plural	plural	plural	plurala	ADJ	3	3.55	core	3	plural	derived adjective — confirm noun anchor / eo_word
	common	standalone	admittedly	konfes	konfes	konfeso	NOUN	3	3.54	core	9	admittedly	
	common	standalone	articulate	klaresprim	klaresprim	klaresprimo	NOUN	3	3.54	extended	2	articulate	
	common	standalone	buffet	bufed	bufed	bufedo	NOUN	3	3.54	core	4	buffet	
	common	derived_adj	neurological	neŭrologi	neŭrologi	neŭrologia	ADJ	3	3.54	extended	2	neurological	derived adjective — confirm noun anchor / eo_word
	common	standalone	pioneering	vojmontr	vojmontr	vojmontra	ADJ	3	3.54	extended	2	pioneering	
	common	standalone	stimulating	stimul	stimul	stimula	ADJ	3	3.54	core	3	stimulating, stimulative	
